Id,SalePrice
1461,129000.0
1462,157000.0
1463,192000.0
1464,181000.0
1465,213500.0
1466,187500.0
1467,175000.0
1468,177000.0
1469,190000.0
1470,129500.0
1471,184900.0
1472,89500.0
1473,88000.0
1474,148500.0
1475,140000.0
1476,426000.0
1477,232600.0
1478,315000.0
1479,225000.0
1480,386250.0
1481,268000.0
1482,189000.0
1483,176432.0
1484,213490.0
1485,184000.0
1486,225000.0
1487,410000.0
1488,147000.0
1489,207500.0
1490,204000.0
1491,171750.0
1492,121000.0
1493,181900.0
1494,337000.0
1495,325000.0
1496,289000.0
1497,208900.0
1498,151000.0
1499,151000.0
1500,81000.0
1501,168500.0
1502,175500.0
1503,372402.0
1504,227000.0
1505,213000.0
1506,185000.0
1507,151400.0
1508,215000.0
1509,175000.0
1510,157000.0
1511,170000.0
1512,218000.0
1513,158000.0
1514,127000.0
1515,191000.0
1516,154000.0
1517,144000.0
1518,142953.0
1519,233170.0
1520,154000.0
1521,164500.0
1522,163500.0
1523,110000.0
1524,100000.0
1525,62383.0
1526,123000.0
1527,110000.0
1528,123000.0
1529,137500.0
1530,182900.0
1531,115000.0
1532,118000.0
1533,143000.0
1534,107900.0
1535,139000.0
1536,128900.0
1537,58500.0
1538,164000.0
1539,122000.0
1540,107400.0
1541,173000.0
1542,139000.0
1543,171000.0
1544,90350.0
1545,81000.0
1546,110000.0
1547,152000.0
1548,152000.0
1549,127000.0
1550,162900.0
1551,115000.0
1552,172000.0
1553,128000.0
1554,66500.0
1555,127000.0
1556,76000.0
1557,145000.0
1558,91000.0
1559,107400.0
1560,133900.0
1561,139000.0
1562,125000.0
1563,137000.0
1564,194700.0
1565,172000.0
1566,208500.0
1567,84000.0
1568,224000.0
1569,165000.0
1570,123500.0
1571,159434.0
1572,137500.0
1573,240000.0
1574,60000.0
1575,184900.0
1576,175000.0
1577,207500.0
1578,187500.0
1579,144000.0
1580,206000.0
1581,155000.0
1582,129000.0
1583,305900.0
1584,234000.0
1585,140000.0
1586,58500.0
1587,107500.0
1588,176000.0
1589,80000.0
1590,148000.0
1591,99900.0
1592,150750.0
1593,108000.0
1594,143900.0
1595,113000.0
1596,228000.0
1597,154300.0
1598,194000.0
1599,229456.0
1600,213500.0
1601,89000.0
1602,103000.0
